"GeneID","LWC142","LWC143","LWC148","LWC153","LWC157","LWC162"
"A1CF",0,13,0,0,0,0
"A4GALT",20,82,30,22,149,56
"A4GNT",0,1,0,0,0,0
"AAAS",94,280,53,554,651,199
"AACS",22,16,5,19,12,26
"AADAC",0,9,0,0,7,0
"AADAT",108,163,69,103,211,117
"AAGAB",665,471,1069,879,932,974
"AAK1",830,1205,632,1592,1787,815
"AAMDC",2822,3356,3021,2158,1766,2720
"AANAT",46,56,64,38,51,51
"AAR2",627,1121,455,1323,1431,787
"AARS1",349,591,348,859,1174,778
"AARS2",569,1045,448,1360,1911,805
"AASDH",6456,7719,3598,4619,7587,3106
"AASDHPPT",88,272,134,212,153,183
"AASS",307,493,248,674,463,365
"AATF",786,723,516,989,1085,404
"AATK",3,106,4,19,53,14
"ABAT",107,169,104,105,159,75
"ABCA1",2281,875,1749,3017,2665,1365
"ABCA12",40,58,29,35,61,46
"ABCA13",130,213,148,23,92,81
"ABCA2",11,99,9,36,47,13
"ABCA3",84,153,53,220,540,122
"ABCA4",19,42,15,13,35,7
"ABCA5",559,1002,209,682,1231,515
"ABCA7",7,92,9,35,30,4
"ABCB1",7,12,10,5,10,7
"ABCB11",128,130,107,145,162,55
"ABCB5",0,21,6,5,0,0
"ABCB6",1225,5066,1383,5600,5559,3773
"ABCB7",3335,3068,4724,3268,3723,4500
"ABCB8",42,121,95,206,240,281
"ABCB9",302,183,275,450,509,401
"ABCC10",146,234,139,371,485,256
"ABCC2",45,87,9,113,97,17
"ABCC3",81,113,97,55,381,78
"ABCC4",681,1107,300,483,957,488
"ABCC5",2374,3201,1698,2897,3903,2276
"ABCC8",1,20,2,4,3,1
"ABCC9",2,31,15,5,44,52
"ABCD2",755,1226,526,755,1211,704
"ABCD3",1043,1030,732,982,1049,533
"ABCD4",209,364,121,403,488,179
"ABCE1",6624,6438,13042,6373,10526,11139
"ABCF1",310,632,234,544,855,330
"ABCF2",763,1273,1226,865,1566,1158
"ABCF3",308,597,201,926,1822,606
"ABCG1",16,24,5,10,5,3
"ABCG2",207,189,862,322,1616,1455
"ABCG4",2,33,0,10,12,3
"ABCG5",56,21,16,87,15,18
"ABCG8",61,27,15,70,28,14
"ABHD10",209,205,132,304,317,210
"ABHD11",77,154,47,159,134,148
"ABHD12",402,500,212,697,759,341
"ABHD12B",6,21,4,8,17,0
"ABHD13",1744,1824,1476,2020,2574,1320
"ABHD14A",1,7,0,3,4,0
"ABHD15",42,87,43,103,98,59
"ABHD17A",42,186,30,326,633,263
"ABHD17B",669,761,487,1920,945,518
"ABHD17C",487,1627,832,736,1134,1095
"ABHD18",1065,1241,1883,1396,1545,950
"ABHD2",2791,2897,1769,3364,4645,2956
"ABHD3",164,273,95,54,595,108
"ABHD5",960,1506,254,463,1198,365
"ABHD6",5434,5774,3365,6718,4857,4509
"ABHD8",0,9,0,3,2,2
"ABI1",2035,2315,1971,1867,2675,1754
"ABI2",495,2383,798,547,722,506
"ABI3",10,29,20,31,34,38
"ABITRAM",13,22,55,44,102,92
"ABL1",175,276,380,538,579,367
"ABL2",122,155,80,205,228,119
"ABLIM1",72,144,106,124,186,154
"ABLIM2",2,9,1,0,1,0
"ABLIM3",0,23,0,1,0,1
"ABR",38,109,51,69,147,58
"ABRA",4,8,18,8,25,20
"ABRACL",163,290,113,428,481,210
"ABRAXAS1",2275,2481,2465,1965,3166,1490
"ABRAXAS2",2621,2674,2430,2652,3264,1983
"ABTB1",3582,4429,3700,5740,6716,3976
"ABTB2",115,418,121,179,315,117
"ACAA1",908,1414,828,1335,1276,853
"ACAA2",282,565,151,522,397,287
"ACACA",838,856,417,813,1318,467
"ACACB",0,41,0,3,1,0
"ACAD10",741,990,560,1207,1425,822
"ACAD11",800,811,409,1085,851,436
"ACAD8",29,64,14,33,120,13
"ACAD9",539,535,466,710,772,506
"ACADL",1860,2251,1617,1835,2314,1459
"ACADM",948,1297,7,340,365,66
"ACADSB",211,275,80,242,324,110
"ACAN",61,57,1,11,44,14
"ACAP2",1890,1401,1243,1640,3097,1255
"ACAP3",0,25,1,11,1,2
"ACAT1",302,311,241,403,414,200
"ACAT2",83,80,37,69,107,35
"ACBD3",704,902,506,987,1114,581
"ACBD4",57,124,58,175,236,122
"ACBD5",1143,1347,938,1190,1364,880
"ACBD6",249,225,108,316,326,140
"ACBD7",10,30,3,21,5,7
"ACCS",10,29,20,26,87,78
"ACE",14,29,181,252,480,109
"ACE2",0,16,1,1,13,1
"ACER1",0,5,0,0,0,0
"ACER2",50,86,21,133,73,30
"ACER3",11,11,3,11,19,8
